date,city,count_review,avg_stars,diff_precip,avg_temp
2016-02-17,Las Vegas,2485,3.7968,0.0,62.5
2016-02-18,Las Vegas,2510,3.7669,0.0,59.0
2016-02-19,Las Vegas,2400,3.8729,0.0,58.5
2016-02-20,Las Vegas,2890,3.7734,0.0,60.5
2016-02-21,Las Vegas,3685,3.7626,0.0,62.0
2016-02-22,Las Vegas,2890,3.7284,0.0,62.0
2016-02-23,Las Vegas,2520,3.8909,0.0,55.0
2016-02-24,Las Vegas,2145,3.8881,0.0,54.0
2016-02-25,Las Vegas,2425,3.8247,0.0,60.0
2016-02-26,Las Vegas,2430,3.8848,0.0,62.0
2016-02-27,Las Vegas,2765,3.8626,0.0,66.0
2016-02-28,Las Vegas,3280,3.7378,0.0,66.0
2016-02-29,Las Vegas,2920,3.7123,0.0,68.5
2016-03-01,Las Vegas,2535,3.7495,0.0,66.5
2016-03-02,Las Vegas,2470,3.7996,0.0,67.0
2016-03-03,Las Vegas,2460,3.7195,0.0,66.5
2016-03-04,Las Vegas,2595,3.738,0.0,66.0
2016-03-05,Las Vegas,2645,3.7278,0.0,69.5
2016-03-06,Las Vegas,3085,3.7423,0.01,56.0
2016-03-07,Las Vegas,2985,3.7404,0.0,50.5
2016-03-08,Las Vegas,2470,3.9028,0.0,58.0
2016-03-09,Las Vegas,2295,3.9041,0.0,63.5
2016-03-10,Las Vegas,2255,3.8271,0.0,65.0
2016-03-11,Las Vegas,2320,3.7823,0.0,65.0
2016-03-12,Las Vegas,2735,3.8026,0.0,57.0
2016-03-13,Las Vegas,3220,3.7345,0.0,59.5
2016-03-14,Las Vegas,2775,3.6847,0.0,60.5
2016-03-15,Las Vegas,2655,3.7006,0.0,62.5
2016-03-16,Las Vegas,2425,3.8515,0.0,64.0
2016-03-17,Las Vegas,2225,3.7326,0.0,66.0
2016-03-18,Las Vegas,2170,3.7189,0.0,69.0
2016-03-19,Las Vegas,2665,3.7523,0.0,68.5
2016-03-20,Las Vegas,3130,3.73,0.0,70.0
2016-03-21,Las Vegas,2955,3.8325,0.0,72.5
2016-03-22,Las Vegas,2565,3.694,0.0,61.0
2016-03-23,Las Vegas,2865,3.808,0.0,59.0
2016-03-24,Las Vegas,2690,3.8197,0.0,62.0
2016-03-25,Las Vegas,2830,3.9117,0.0,70.0
2016-03-26,Las Vegas,2890,3.7128,0.0,61.0
2016-03-27,Las Vegas,3095,3.6721,0.0,59.0
2016-03-28,Las Vegas,2890,3.7353,0.0,61.0
2016-03-29,Las Vegas,2735,3.7495,0.0,53.5
2016-03-30,Las Vegas,2920,3.7175,0.0,55.5
2016-03-31,Las Vegas,2645,3.8431,0.0,61.0
2016-04-01,Las Vegas,2680,3.8228,0.0,65.0
2016-04-02,Las Vegas,3355,3.696,0.0,65.5
2016-04-03,Las Vegas,3325,3.7504,0.0,69.5
2016-04-04,Las Vegas,2670,3.6891,0.0,71.0
