date,precipitation,precipitation_normal
19751202,3.39,6.52
19751203,3.39,6.55
19751204,3.39,6.57
19751205,3.39,6.59
19751206,3.39,6.62
19751207,3.39,6.64
19751208,3.39,6.66
19751209,3.39,6.68
19751210,3.39,6.71
19751211,3.39,6.73
19751212,3.39,6.76
19751213,4.06,6.78
19751214,4.15,6.81
19751215,4.15,6.83
19751216,4.15,6.85
19751217,4.15,6.88
19751218,4.15,6.90
19751219,4.15,6.92
19751220,4.18,6.95
19751221,4.51,6.97
19751222,4.51,6.99
19751223,4.51,7.01
19751224,4.51,7.04
19751225,4.51,7.06
19751226,4.51,7.09
19751227,4.51,7.11
19751228,4.51,7.14
19751229,4.51,7.17
19751230,4.51,7.19
19751231,4.51,7.22
19760101,0.00,0.03
19760102,0.00,0.06
19760103,0.00,0.09
19760104,0.00,0.12
19760105,0.00,0.15
19760106,0.00,0.18
19760107,0.00,0.21
19760108,0.00,0.24
19760109,0.00,0.27
19760110,0.00,0.30
19760111,0.00,0.33
19760112,0.00,0.36
19760113,0.00,0.39
19760114,0.00,0.42
19760115,0.00,0.45
19760116,0.00,0.48
19760117,0.00,0.51
19760118,0.00,0.54
19760119,0.00,0.57
19760120,0.00,0.60
19760121,0.00,0.63
19760122,T,0.65
19760123,T,0.67
19760124,T,0.70
19760125,T,0.72
19760126,T,0.75
19760127,T,0.77
19760128,T,0.79
19760129,T,0.82
19760130,T,0.84
19760131,T,0.87
19760201,T,0.90
19760202,T,0.92
19760203,T,0.95
19760204,0.09,0.97
19760205,0.11,1.00
19760206,0.11,1.02
19760207,0.11,1.05
19760208,0.11,1.08
19760209,0.47,1.10
19760210,0.47,1.13
19760211,0.47,1.16
19760212,0.47,1.18
19760213,0.47,1.21
19760214,0.47,1.24
19760215,0.47,1.28
19760216,0.47,1.31
19760217,0.47,1.34
19760218,0.47,1.37
19760219,0.47,1.40
19760220,0.47,1.44
19760221,0.47,1.48
19760222,0.47,1.52
19760223,0.47,1.55
19760224,0.47,1.59
19760225,0.47,1.63
19760226,0.47,1.66
19760227,0.47,1.70
19760228,0.47,1.74
19760229,0.47,1.74
19760301,0.47,1.78
19760302,0.47,1.81
19760303,0.87,1.85
19760304,0.87,1.88
19760305,0.87,1.92
19760306,0.87,1.95
19760307,0.87,1.98
19760308,0.87,2.01
19760309,0.87,2.04
19760310,0.87,2.07
19760311,0.87,2.10
19760312,0.87,2.13
19760313,0.87,2.17
19760314,0.87,2.20
19760315,0.87,2.22
19760316,0.87,2.25
19760317,0.87,2.28
19760318,0.87,2.31
19760319,0.87,2.33
19760320,0.87,2.36
19760321,0.87,2.38
19760322,0.87,2.41
19760323,0.87,2.43
19760324,0.87,2.45
19760325,0.87,2.47
19760326,0.87,2.49
19760327,0.87,2.50
19760328,0.87,2.52
19760329,0.87,2.54
19760330,0.87,2.55
19760331,0.87,2.57
19760401,0.87,2.58
19760402,0.87,2.60
19760403,0.87,2.61
19760404,0.87,2.63
19760405,0.87,2.64
19760406,0.87,2.65
19760407,0.87,2.67
19760408,0.87,2.68
19760409,0.87,2.69
19760410,0.87,2.70
19760411,0.87,2.71
19760412,0.87,2.72
19760413,0.87,2.73
19760414,1.25,2.73
19760415,1.25,2.74
19760416,1.54,2.75
19760417,1.54,2.75
19760418,1.54,2.76
19760419,1.54,2.76
19760420,1.54,2.76
19760421,1.54,2.77
19760422,1.54,2.77
19760423,1.54,2.77
19760424,1.54,2.78
19760425,1.54,2.78
19760426,1.54,2.78
19760427,1.54,2.78
19760428,1.54,2.79
19760429,1.54,2.79
19760430,1.54,2.79
19760501,1.54,2.79
19760502,1.54,2.80
19760503,1.59,2.80
19760504,2.50,2.80
19760505,2.50,2.81
19760506,2.50,2.81
19760507,2.54,2.81
19760508,2.54,2.82
19760509,2.54,2.82
19760510,2.54,2.83
19760511,2.54,2.83
19760512,2.54,2.84
19760513,2.54,2.84
19760514,2.54,2.85
19760515,2.54,2.85
19760516,2.54,2.86
19760517,2.54,2.86
19760518,2.60,2.87
19760519,2.60,2.87
19760520,2.60,2.88
19760521,2.60,2.88
19760522,2.60,2.88
19760523,2.60,2.89
19760524,2.60,2.89
19760525,2.60,2.90
19760526,2.60,2.90
19760527,2.60,2.91
19760528,2.60,2.91
19760529,2.60,2.91
19760530,2.60,2.92
19760531,2.60,2.92
19760601,2.60,2.92
19760602,2.60,2.92
19760603,2.60,2.92
19760604,2.60,2.92
19760605,2.60,2.92
19760606,2.60,2.92
19760607,2.60,2.92
19760608,2.60,2.92
19760609,2.60,2.92
19760610,2.60,2.92
19760611,2.60,2.92
19760612,2.60,2.92
19760613,2.60,2.92
19760614,2.60,2.92
19760615,2.60,2.92
19760616,2.60,2.93
19760617,2.60,2.93
19760618,2.60,2.93
19760619,2.60,2.93
19760620,2.60,2.93
19760621,2.60,2.93
19760622,2.60,2.93
19760623,2.60,2.93
19760624,2.60,2.93
19760625,2.60,2.93
19760626,2.60,2.93
19760627,2.60,2.93
19760628,2.60,2.93
19760629,2.69,2.94
19760630,2.69,2.94
19760701,2.69,2.95
19760702,2.69,2.97
19760703,2.69,2.98
19760704,2.69,3.00
19760705,2.69,3.02
19760706,2.69,3.04
19760707,2.69,3.05
19760708,2.69,3.08
19760709,2.69,3.10
19760710,2.69,3.12
19760711,2.69,3.15
19760712,2.77,3.18
19760713,2.77,3.21
19760714,2.77,3.23
19760715,2.77,3.27
19760716,2.77,3.30
19760717,2.77,3.33
19760718,2.77,3.37
19760719,2.77,3.40
19760720,2.77,3.44
19760721,2.77,3.48
19760722,2.78,3.52
19760723,2.78,3.56
19760724,3.74,3.59
19760725,3.81,3.63
19760726,3.81,3.67
19760727,3.81,3.71
19760728,4.17,3.74
19760729,4.17,3.78
19760730,4.17,3.81
19760731,4.17,3.85
19760801,4.17,3.88
19760802,4.17,3.91
19760803,4.17,3.94
19760804,4.17,3.97
19760805,4.17,4.00
19760806,4.17,4.04
19760807,4.17,4.07
19760808,4.20,4.10
19760809,4.20,4.13
19760810,4.20,4.16
19760811,4.20,4.19
19760812,4.20,4.22
19760813,4.20,4.25
19760814,4.20,4.28
19760815,4.20,4.31
19760816,4.20,4.34
19760817,4.20,4.37
19760818,4.20,4.40
19760819,4.20,4.43
19760820,4.20,4.46
19760821,4.20,4.49
19760822,4.20,4.51
19760823,4.20,4.54
19760824,4.20,4.57
19760825,4.20,4.60
19760826,4.20,4.63
19760827,4.20,4.66
19760828,4.29,4.69
19760829,4.29,4.72
19760830,4.29,4.75
19760831,4.29,4.78
19760901,4.29,4.81
19760902,4.29,4.83
19760903,4.29,4.86
19760904,4.29,4.88
19760905,4.63,4.91
19760906,4.63,4.93
19760907,4.63,4.95
19760908,4.63,4.97
19760909,4.63,4.99
19760910,4.67,5.01
19760911,4.68,5.03
19760912,4.68,5.05
19760913,4.68,5.07
19760914,4.68,5.08
19760915,4.68,5.10
19760916,4.68,5.12
19760917,4.68,5.14
19760918,4.68,5.16
19760919,4.68,5.18
19760920,4.68,5.20
19760921,4.68,5.21
19760922,4.68,5.23
19760923,5.40,5.25
19760924,5.70,5.26
19760925,5.98,5.27
19760926,5.98,5.29
19760927,5.98,5.30
19760928,5.98,5.32
19760929,5.98,5.33
19760930,5.98,5.35
19761001,5.98,5.37
19761002,5.98,5.39
19761003,5.98,5.41
19761004,5.98,5.43
19761005,5.98,5.44
19761006,5.98,5.46
19761007,5.98,5.48
19761008,5.98,5.50
19761009,5.98,5.52
19761010,5.98,5.53
19761011,5.98,5.55
19761012,5.98,5.57
19761013,5.98,5.59
19761014,5.98,5.61
19761015,5.98,5.63
19761016,5.98,5.65
19761017,5.98,5.67
19761018,5.98,5.68
19761019,5.98,5.70
19761020,5.98,5.72
19761021,6.02,5.74
19761022,6.11,5.75
19761023,6.63,5.77
19761024,6.63,5.79
19761025,6.63,5.81
19761026,6.63,5.82
19761027,6.68,5.84
19761028,6.68,5.86
19761029,6.68,5.87
19761030,6.68,5.89
19761031,6.68,5.91
19761101,6.68,5.93
19761102,6.68,5.95
19761103,6.68,5.96
19761104,6.68,5.98
19761105,6.68,6.00
19761106,6.68,6.01
19761107,6.68,6.03
19761108,6.68,6.05
19761109,6.68,6.07
19761110,6.68,6.09
19761111,6.68,6.10
19761112,7.08,6.12
19761113,7.11,6.14
19761114,7.11,6.15
19761115,7.11,6.17
19761116,7.11,6.19
19761117,7.11,6.20
19761118,7.11,6.22
19761119,7.11,6.24
19761120,7.11,6.26
19761121,7.11,6.28
19761122,7.11,6.30
19761123,7.11,6.32
19761124,7.11,6.34
19761125,7.11,6.37
19761126,7.11,6.39
19761127,7.11,6.41
19761128,7.11,6.44
19761129,7.11,6.46
19761130,7.11,6.48
19761201,7.11,6.50
19761202,7.11,6.52
19761203,7.11,6.55
19761204,7.11,6.57
19761205,7.11,6.59
19761206,7.11,6.62
19761207,7.11,6.64
19761208,7.11,6.66
19761209,7.11,6.68
19761210,7.11,6.71
19761211,7.11,6.73
19761212,7.11,6.76
19761213,7.11,6.78
19761214,7.11,6.81
19761215,7.11,6.83
19761216,7.11,6.85
19761217,7.11,6.88
19761218,7.11,6.90
19761219,7.16,6.92
19761220,7.16,6.95
19761221,7.16,6.97
19761222,7.16,6.99
19761223,7.16,7.01
19761224,7.16,7.04
19761225,7.16,7.06
19761226,7.16,7.09
19761227,7.16,7.11
19761228,7.16,7.14
19761229,7.16,7.17
19761230,7.16,7.19
19761231,7.96,7.22
19770101,0.00,0.03
19770102,T,0.06
19770103,0.07,0.09
19770104,0.09,0.12
19770105,0.24,0.15
19770106,0.24,0.18
19770107,0.24,0.21
19770108,0.26,0.24
19770109,0.26,0.27
19770110,0.26,0.30
19770111,0.26,0.33
19770112,0.26,0.36
19770113,0.26,0.39
19770114,0.26,0.42
19770115,0.26,0.45
19770116,0.26,0.48
19770117,0.26,0.51
19770118,0.26,0.54
19770119,0.26,0.57
19770120,0.26,0.60
19770121,0.35,0.63
19770122,0.35,0.65
19770123,0.35,0.67
19770124,0.35,0.70
19770125,0.35,0.72
19770126,0.35,0.75
19770127,0.35,0.77
19770128,0.35,0.79
19770129,0.35,0.82
19770130,0.35,0.84
19770131,0.35,0.87
19770201,0.35,0.90
19770202,0.35,0.92
19770203,0.35,0.95
19770204,0.35,0.97
19770205,0.35,1.00
19770206,0.35,1.02
19770207,0.35,1.05
19770208,0.35,1.08
19770209,0.35,1.10
19770210,0.35,1.13
19770211,0.35,1.16
19770212,0.35,1.18
19770213,0.35,1.21
19770214,0.35,1.24
19770215,0.35,1.28
19770216,0.35,1.31
19770217,0.35,1.34
19770218,0.35,1.37
19770219,0.35,1.40
19770220,0.35,1.44
19770221,0.35,1.48
19770222,0.35,1.52
19770223,0.35,1.55
19770224,0.41,1.59
19770225,0.41,1.63
19770226,0.41,1.66
19770227,0.41,1.70
19770228,0.41,1.74
19770301,0.41,1.78
19770302,0.41,1.81
19770303,0.41,1.85
19770304,0.41,1.88
19770305,0.41,1.92
19770306,0.41,1.95
