date,min,max,normal_min,normal_max
20060919,60.0,92.0,69.2,93.0
20060920,65.0,80.0,68.8,92.5
20060921,57.0,85.0,68.4,92.1
20060922,64.0,79.0,68.0,91.6
20060923,59.0,79.0,67.6,91.1
20060924,56.0,81.0,67.1,90.6
20060925,57.0,88.0,66.7,90.1
20060926,64.0,93.0,66.3,89.7
20060927,68.0,94.0,65.8,89.2
20060928,63.0,94.0,65.4,88.7
20060929,66.0,95.0,64.9,88.2
20060930,66.0,95.0,64.5,87.7
20061001,74.0,91.0,64.0,87.2
20061002,70.0,87.0,63.6,86.7
20061003,65.0,89.0,63.1,86.3
20061004,68.0,89.0,62.7,85.8
20061005,65.0,77.0,62.2,85.3
20061006,57.0,77.0,61.7,84.8
20061007,52.0,76.0,61.3,84.4
20061008,63.0,81.0,60.9,83.9
20061009,63.0,80.0,60.4,83.5
20061010,62.0,78.0,60.0,83.0
20061011,58.0,79.0,59.5,82.6
20061012,56.0,82.0,59.1,82.1
20061013,58.0,79.0,58.7,81.7
20061014,53.0,66.0,58.2,81.2
20061015,53.0,72.0,57.8,80.8
20061016,56.0,75.0,57.4,80.4
20061017,58.0,71.0,57.0,80.0
20061018,53.0,70.0,56.5,79.5
20061019,49.0,72.0,56.1,79.1
20061020,54.0,80.0,55.7,78.7
20061021,55.0,73.0,55.3,78.3
20061022,50.0,77.0,54.9,77.9
20061023,51.0,78.0,54.5,77.5
20061024,55.0,68.0,54.1,77.1
20061025,51.0,73.0,53.7,76.7
20061026,50.0,68.0,53.3,76.2
20061027,46.0,73.0,52.9,75.8
20061028,49.0,74.0,52.6,75.4
20061029,47.0,75.0,52.2,75.0
20061030,47.0,77.0,51.8,74.6
20061031,47.0,73.0,51.4,74.1
20061101,49.0,69.0,51.0,73.7
20061102,47.0,68.0,50.6,73.3
20061103,48.0,71.0,50.2,72.8
20061104,53.0,76.0,49.9,72.4
20061105,53.0,73.0,49.5,71.9
20061106,55.0,80.0,49.1,71.5
20061107,54.0,80.0,48.7,71.0
20061108,53.0,79.0,48.3,70.5
20061109,56.0,76.0,47.9,70.0
20061110,47.0,66.0,47.5,69.6
20061111,47.0,64.0,47.1,69.1
20061112,46.0,62.0,46.8,68.6
20061113,45.0,64.0,46.4,68.1
20061114,48.0,73.0,46.0,67.6
20061115,43.0,66.0,45.6,67.1
20061116,41.0,67.0,45.2,66.6
20061117,42.0,70.0,44.8,66.1
20061118,45.0,73.0,44.5,65.6
20061119,46.0,74.0,44.1,65.1
20061120,45.0,72.0,43.7,64.6
20061121,45.0,72.0,43.4,64.1
20061122,49.0,73.0,43.0,63.6
20061123,54.0,68.0,42.6,63.1
20061124,44.0,65.0,42.3,62.6
20061125,41.0,61.0,41.9,62.1
20061126,39.0,60.0,41.6,61.6
20061127,47.0,61.0,41.3,61.2
20061128,39.0,57.0,41.0,60.7
20061129,32.0,45.0,40.7,60.3
20061130,28.0,46.0,40.4,59.9
20061201,30.0,54.0,40.1,59.5
20061202,36.0,56.0,39.8,59.1
20061203,33.0,51.0,39.5,58.7
20061204,30.0,58.0,39.3,58.3
20061205,32.0,60.0,39.1,58.0
20061206,37.0,64.0,38.8,57.7
20061207,40.0,67.0,38.6,57.3
20061208,39.0,65.0,38.4,57.1
20061209,40.0,65.0,38.3,56.8
20061210,44.0,60.0,38.1,56.5
20061211,41.0,59.0,38.0,56.3
20061212,37.0,55.0,37.8,56.1
20061213,38.0,59.0,37.7,55.9
20061214,39.0,59.0,37.6,55.8
20061215,39.0,59.0,37.5,55.6
20061216,42.0,56.0,37.5,55.5
20061217,36.0,47.0,37.4,55.4
20061218,35.0,46.0,37.4,55.3
20061219,33.0,47.0,37.3,55.3
20061220,31.0,49.0,37.3,55.2
20061221,30.0,50.0,37.3,55.2
20061222,37.0,53.0,37.3,55.2
20061223,39.0,54.0,37.3,55.2
20061224,34.0,59.0,37.4,55.3
20061225,35.0,58.0,37.4,55.3
20061226,39.0,53.0,37.5,55.4
20061227,40.0,61.0,37.5,55.4
20061228,44.0,53.0,37.6,55.5
20061229,43.0,59.0,37.7,55.6
20061230,35.0,57.0,37.7,55.7
20061231,32.0,53.0,37.8,55.8
20070101,35.0,59.0,37.9,56.0
20070102,42.0,61.0,38.0,56.1
20070103,40.0,60.0,38.1,56.2
20070104,35.0,66.0,38.2,56.4
